ENGLISH,SPANISH,JAPANESE,INDONESIAN,KOREAN,POS
shop/store,tienda/almacén ,店,toko/kedai,가게,NOUN
price,precio,価格/値段,harga,가격,NOUN
to be near/to be close,cerca ,近い,dekat,가깝다,ADJ
sometimes/occasionally,a veces/de vez en cuando,たまに,kadang-kadang/terkadang,가끔,ADV
to be possible,ser posible/poder,可能だ/できる,memungkinkan,가능하다,ADJ
to go,ir,行く,pergi,가다,VERB
to teach,enseñar,教える,mengajar,가르치다,VERB
bag/sack,bolso/saco,かばん,tas,가방,NOUN
to be light,ligero/liviano,軽い,ringan,가볍다,ADJ
singer,cantante,歌手,penyanyi,가수,NOUN
chest; heart/mind,pecho/corazon,胸; 心/感情,dada; hati/pikiran,가슴,NOUN
(in the) middle/center,(en el) medio/centro,なか (に)/まんなか (に),(di)tengah/pusat,가운데,NOUN
fall/autumn,otoño,秋,musim gugur,가을,NOUN
most/best,más/mejor ,一番/最も, paling,가장,ADV
home/family,hogar,家庭,rumah/keluarga,가정,NOUN
to bring,traer,持って来る,membawa,가져오다,VERB
family (member),familia,家族,(anggota) keluarga,가족,NOUN
kind/sort,clase,種類,macam,가지,NOUN
to have/to own; to carry,tener/obtener,持つ,mempunyai/memiliki; membawa,가지다,VERB
each,cada,各々/それぞれ, setiap,각각,NOUN
nurse,enfermera,看護婦,perawat,간호사,NOUN
ribs,costillas,カルビ,daging iga,갈비,NOUN
cold/flu,resfriado,風邪,pilek/influenza,감기,NOUN
thanks/appreciation | to thank/to appreciate,gracias/agradecer/apreciar,感謝 | 感謝する,terima kasih/penghargaan; berterimakasih/menghargai ,감사 | 감사하다,NOUN | VERB/ADJ
feeling/emotion,sentimiento/sensación,感情,perasaan,감정,NOUN
suddenly,repentino/de repente,急に/突然,tiba-tiba,갑자기,ADV
price,precio/valor,値段,harga; nilai,값,NOUN
river,río,川,sungai,강,NOUN
to emphasize/to highlight,acentuar/enfatizar,強調する,menekankan/menegaskan,강조하다,VERB
to be strong,fuerte,強い,kuat,강하다,ADJ
to be the same,mismo/igual,同じだ,sama ,같다,ADJ
together,juntos,一緒に,bersama - sama,같이,ADV
dog,perro,犬,anjing,개,NOUN
piece/unit,cada,個,buah,개,NOUN
month,mes,ヶ月,bulan,개월,NOUN
there,allí,そこ,disana,거기,PRONOUN
street/avenue,calle/callejón,通り/町,jalan,거리,NOUN
mirror,espejo,鏡,cermin,거울,NOUN
almost/nearly,casi,ほとんど,hampir,거의,ADV
lie | to tell a lie,mentira; mentir,嘘 | 嘘つく,kebohongan; berbohong,거짓말 | 거짓말하다,NOUN | VERB
worry/anxiety | to worry about,preocupación; preocupar,心配 | 心配する,cemas/khawatir; cemas tentang,걱정 | 걱정하다,NOUN | VERB
health | to be healthy,salud; ser saludable,健康 | 元気だ,kesehatan; sehat ,건강 | 건강하다,NOUN | ADJ
building,edificio,建物,gedung,건물,NOUN
to walk,caminar,歩く,berjalan,걷다,VERB
to hang,colgar,掛ける,menggantung,걸다,VERB
to hang/to be hung,colgar/ser colgado,掛る,menggantung/digantung ,걸리다,VERB
to go on foot,ir a pie/caminar,歩いて行く,pergi jalan kaki,걸어가다,VERB
to come on foot,venir en pie,歩いて来る,pulang jalan kaki ,걸어오다,VERB
black (color),negro,黒い色,hitam,검은색,NOUN
